,job_name,company_name,company_loc,job_details,job_summary,job_link
0,Not Mentioned,Not Mentioned,Not Mentioned,,"
Project lifestyle for residential and commercial real estate, driving to collaboratively enhance the end.
A Python Developer to join our engineering team and…
EmployerActive 4 days ago·More...",https://in.indeed.com/q-haven-infoline-pvt-ltd.-jobs.html
1,Not Mentioned,Not Mentioned,Not Mentioned,,"
The skillset Developer will be responsible for software development, programming and making different types of software modules according to company requirement…
EmployerActive 4 days ago·More...",https://in.indeed.com/q-iaispl-jobs.html
2,Not Mentioned,Not Mentioned,Not Mentioned,,"
Collaborate with the development team to design, develop, test, and deploy Python applications.
Write clean, maintainable, and efficient code.
PostedPosted 6 days ago·More...",https://in.indeed.com/q-metricoid-technology-solutions-jobs.html
3,Not Mentioned,Not Mentioned,Not Mentioned,,"
Tech/MCA/Post Graduations in Computer Science or other relevant information/computer technology field from recognized institute/University.
EmployerActive 4 days ago·More...",https://in.indeed.com/q-greenclover-jobs.html
4,Not Mentioned,Not Mentioned,Not Mentioned,,"
Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performant applications.
EmployerActive 19 days ago·More...",https://in.indeed.com/q-corporatehunt-private-limited-jobs.html
5,Not Mentioned,Not Mentioned,Not Mentioned,,Not Mentioned,
6,Not Mentioned,Not Mentioned,Not Mentioned,,"
Collaborate with the development team to design, develop, test, and deploy Python applications.
Write clean, maintainable, and efficient code.
EmployerActive 3 days ago·More...",https://in.indeed.com/q-metricoid-technology-solutions-private-limited-jobs.html
7,Not Mentioned,Not Mentioned,Not Mentioned,,"
B.Tech./B.E. or other technical degree.
Support sales team by building quick prototypes.
Documenting code and building packages for redistribution.
PostedPosted 30+ days ago·More...",https://in.indeed.com/q-cognext-jobs.html
8,Not Mentioned,Not Mentioned,Not Mentioned,,"
The ideal candidate will be responsible for developing and maintaining high-quality software solutions, collaborating with cross-functional teams to define,…
PostedJust posted·More...",https://in.indeed.com/q-nextgen-techno-ventures-pvt-ltd-jobs.html
9,Not Mentioned,Not Mentioned,Not Mentioned,,"
Minimum 1 year experience required.*.
Proven experience as a Python Developer with a strong focus on backend development.
PostedJust posted·More...",https://in.indeed.com/q-adengage-jobs.html
10,Not Mentioned,Not Mentioned,Not Mentioned,,"
S/he should be self-driven, capable of learning things fast and be comfortable working in a dynamic, startup environment.
Create/Work on complex algorithms.
PostedToday·More...",https://in.indeed.com/q-xircls-jobs.html
11,Not Mentioned,Not Mentioned,Not Mentioned,,Not Mentioned,
12,Not Mentioned,Not Mentioned,Not Mentioned,,"
We are looking for bright, young engineers with good mathematics skills and an interest in data analytics/science.
Python/R for data science.
EmployerActive 3 days ago·More...","https://in.indeed.com/q-magus-infotech-india-pvt.-ltd.,-jobs.html"
13,Not Mentioned,Not Mentioned,Not Mentioned,,"
Looking for a candidate, with at least 6 months of experience working on Python & Django projects, who has a passion for innovation, curiosity and obsession for…
PostedToday·More...",https://in.indeed.com/q-xircls-jobs.html
14,Not Mentioned,Not Mentioned,Not Mentioned,,"
Dinero Software Pvt. Ltd. Is an innovative Software Development Company that utilizes the latest technologies to bring the best software for our client’s needs.
PostedPosted 30+ days ago·More...",https://in.indeed.com/q-dinero-software-jobs.html
15,Not Mentioned,Not Mentioned,Not Mentioned,,"
Interested candidates can send CV on hr@quickxpert.com.
Skillset -* Python With Django & Web Desining skills.
Exp . -* min 1year and above.
EmployerActive 4 days ago·More...",https://in.indeed.com/q-quickxpert-infotech-jobs.html
16,Not Mentioned,Not Mentioned,Not Mentioned,,"
O Strong experience developing scalable Python backend logic.
O Solid experience implementing ORM tools and Python frameworks.
Job Types: Full-time, Permanent.
EmployerActive 7 days ago·More...",https://in.indeed.com/q-4-bell-technology-jobs.html
17,Not Mentioned,Not Mentioned,Not Mentioned,,Not Mentioned,
