,job_name,comp_name,comp_loc,salary,job_description,job_url
0,Job Citiustech - Java Developer,Citiustech3.51300  Reviews,"Hybrid - Mumbai (All Areas), Pune, Maharashtra, Bengaluru, Karnataka",Not disclosed,Qualifications: Minimum 8 years of experience as a Java DeveloperPrior experience in th...,https://www.naukri.com/job-listings-citiustech-java-developer-citiustech-pune-maharashtra-bengaluru-karnataka-mumbai-all-areas-4-to-9-years-120224004136
1,Sr. Java Developer,NSEIT3.61022  Reviews,"Hybrid - Mumbai, Maharashtra, Mumbai (All Areas)",5-15 Lacs PA,"Ability to work independently, good communication skills, experience in working on comp...",https://www.naukri.com/job-listings-sr-java-developer-nseit-mumbai-maharashtra-mumbai-all-areas-8-to-13-years-090224004850
2,Java and J2Ee Developer,Tata Consultancy Services (TCS)3.873084  Reviews,"Mumbai, Maharashtra",7-15 Lacs PA,"Advanced MySQL (Query Tuning, Partitioning, Replication Basics) Experience on Apache So...",https://www.naukri.com/job-listings-java-and-j2ee-developer-tata-consultancy-services-tcs-mumbai-maharashtra-3-to-7-years-080224004213
3,Java Full Stack Development-Application Developer,Accenture4.046299  Reviews,Mumbai,Not disclosed,Must have skills :Java Full Stack Development Good to have skills :NA Minimum 3 year(s)...,https://www.naukri.com/job-listings-java-full-stack-development-application-developer-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-100224904236
4,Senior Java Full stack Angular Developer,Rightpoint4.238  Reviews,Hybrid - Mumbai (All Areas),15-27.5 Lacs PA,Solid experience with MVC Architecture for web apps.  Candidates with 7 or more years o...,https://www.naukri.com/job-listings-senior-java-full-stack-angular-developer-rightpoint-mumbai-all-areas-6-to-8-years-300124011496
5,Senior Java Developer - Immediate Joiners Preferred,NTT DATA BUSINESS SOLUTIONS4.05820  Reviews,"Navi Mumbai, Maharashtra, Thane, Maharashtra, Mumbai (All Areas)",12-22 Lacs PA,Must be a Team player and problem solver and good leaderYou must have Hands on experien...,https://www.naukri.com/job-listings-senior-java-developer-immediate-joiners-preferred-ntt-data-business-solutions-thane-maharashtra-navi-mumbai-maharashtra-mumbai-all-areas-6-to-10-years-020224010333
6,Associate / Senior Associate Java Developer,National Payments Corporation of India (NPCI)3.8389  Reviews,Mumbai,Not disclosed, Position: Associate / Senior Associate Place of posting: Mumbai (Goregaon)Experience: ...,https://www.naukri.com/job-listings-associate-senior-associate-java-developer-national-payments-corporation-of-india-npci-mumbai-2-to-6-years-120623003634
7,Full Stack Sr. Java Developer,IT Services & Consulting,"Navi Mumbai, Vashi",Not disclosed,Development of unit tests and feature test scripts Development and maintenance of deplo...,https://www.naukri.com/job-listings-full-stack-sr-java-developer-shree-mahakal-navi-mumbai-vashi-5-to-8-years-290124901060
8,Java Enterprise Edition-Software Configuration Engineer,Accenture4.046299  Reviews,Mumbai,Not disclosed,Project Role :Software Configuration Engineer Project Role Description :Implement the c...,https://www.naukri.com/job-listings-java-enterprise-edition-software-configuration-engineer-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-100224905314
9,Senior Java Developer - Web Applications,Comunus Technologies2.830  Reviews,Mumbai,Not disclosed,"Bachelor or Master degree in Computer Science, IT or equivalent. . - Proficient in Core...",https://www.naukri.com/job-listings-senior-java-developer-web-applications-comunus-technologies-pvt-ltd-mumbai-5-to-10-years-290124900959
